,Cor,Total,Faixa Etária,Habitantes,Habitantes por total cor
0,Branca,6824668,0 a 4,444168,0.06508272636852078
1,Preta,736083,0 a 4,29954,0.04069378045682348
2,Amarela,246244,0 a 4,8329,0.03382417439612742
3,Parda,3433218,0 a 4,227650,0.06630805267827443
4,Indígena,12977,0 a 4,813,0.06264930261231409
5,Branca,6824668,5 a 9,433860,0.06357232322510048
6,Preta,736083,5 a 9,39476,0.05362982163696214
7,Amarela,246244,5 a 9,9020,0.03663033414012118
8,Parda,3433218,5 a 9,275068,0.08011958459963801
9,Indígena,12977,5 a 9,840,0.06472990675811051
10,Branca,6824668,10 a 14,466843,0.06840523231313231
11,Preta,736083,10 a 14,52706,0.07160333821050072
12,Amarela,246244,10 a 14,10726,0.043558421728042106
13,Parda,3433218,10 a 14,336289,0.09795154283823515
14,Indígena,12977,10 a 14,843,0.06496108499653233
15,Branca,6824668,15 a 19,462715,0.06780036772484757
16,Preta,736083,15 a 19,56272,0.07644790057642956
17,Amarela,246244,15 a 19,12276,0.04985299134192102
18,Parda,3433218,15 a 19,309997,0.09029342150716907
19,Indígena,12977,15 a 19,982,0.07567234337674347
20,Branca,6824668,20 a 24,570950,0.08365974725803511
21,Preta,736083,20 a 24,68610,0.09320959728726244
22,Amarela,246244,20 a 24,17282,0.07018242068842287
23,Parda,3433218,20 a 24,333423,0.09711675751437863
24,Indígena,12977,20 a 24,1352,0.104184326115435
25,Branca,6824668,25 a 29,636194,0.09321977274205866
26,Preta,736083,25 a 29,75869,0.10307125690988653
27,Amarela,246244,25 a 29,21097,0.08567518396387323
28,Parda,3433218,25 a 29,339887,0.09899953920782194
29,Indígena,12977,25 a 29,1484,0.11435616860599522
30,Branca,6824668,30 a 34,599762,0.08788149108498758
31,Preta,736083,30 a 34,73139,0.09936243602963253
32,Amarela,246244,30 a 34,20445,0.08302740371338997
33,Parda,3433218,30 a 34,315436,0.0918776494822059
34,Indígena,12977,30 a 34,1256,0.09678662248593665
35,Branca,6824668,35 a 39,524122,0.07679816805740587
36,Preta,736083,35 a 39,64755,0.08797241615415653
37,Amarela,246244,35 a 39,18141,0.07367083055830802
38,Parda,3433218,35 a 39,280563,0.08172012380221705
39,Indígena,12977,35 a 39,1072,0.08260769052939816
40,Branca,6824668,40 a 44,485640,0.07115950548803253
41,Preta,736083,40 a 44,59093,0.0802803488193587
42,Amarela,246244,40 a 44,17467,0.07093370802943422
43,Parda,3433218,40 a 44,249819,0.07276525988154553
44,Indígena,12977,40 a 44,939,0.07235878862603067
45,Branca,6824668,45 a 49,465774,0.06824859465691224
46,Preta,736083,45 a 49,51910,0.07052193842270504
47,Amarela,246244,45 a 49,17002,0.06904533714527054
48,Parda,3433218,45 a 49,207196,0.06035037681848342
49,Indígena,12977,45 a 49,823,0.06341989674038684
50,Branca,6824668,50 a 54,425601,0.062362154466708127
51,Preta,736083,50 a 54,47914,0.06509320280457503
52,Amarela,246244,50 a 54,17422,0.07075096245999903
53,Parda,3433218,50 a 54,175970,0.05125511983218077
54,Indígena,12977,50 a 54,734,0.056561609000539415
55,Branca,6824668,55 a 59,358120,0.05247434747008939
56,Preta,736083,55 a 59,37809,0.05136513137784734
57,Amarela,246244,55 a 59,17874,0.0725865401796592
58,Parda,3433218,55 a 59,133704,0.03894422084470022
59,Indígena,12977,55 a 59,590,0.0454650535562919
60,Branca,6824668,60 a 64,283006,0.04146809778878621
61,Preta,736083,60 a 64,27559,0.037440071296307616
62,Amarela,246244,60 a 64,17175,0.06974789233443252
63,Parda,3433218,60 a 64,94896,0.02764054015795094
64,Indígena,12977,60 a 64,413,0.03182553748940433
65,Branca,6824668,65 a 69,208206,0.03050785767161128
66,Preta,736083,65 a 69,18537,0.025183301339658706
67,Amarela,246244,65 a 69,13987,0.05680138399311252
68,Parda,3433218,65 a 69,61310,0.017857881439512432
69,Indígena,12977,65 a 69,293,0.022578407952531403
70,Branca,6824668,70 a 74,169901,0.02489513042978794
71,Preta,736083,70 a 74,13717,0.01863512674521759
72,Amarela,246244,70 a 74,11468,0.04657169311739576
73,Parda,3433218,70 a 74,41992,0.012231090481291895
74,Indígena,12977,70 a 74,221,0.017030130230407645
75,Branca,6824668,75 e mais,128717,0.018860551165272802
76,Preta,736083,75 e mais,9097,0.012358660640172372
77,Amarela,246244,75 e mais,7516,0.030522571108331575
78,Parda,3433218,75 e mais,25485,0.007423064891306058
79,Indígena,12977,75 e mais,152,0.01171303074670571
