,Semana,Amarela,Branca,Indígena,Parda,Preta,Total,Semana_Num,Data,Data_Simp
0,SE_20 12,2.0,51.0,0.0,5.0,2.0,60.0,12,Mon Mar 23 00:00:00 2020,23/03/20
1,SE_20 13,14.0,280.0,1.0,47.0,19.0,361.0,13,Mon Mar 30 00:00:00 2020,30/03/20
2,SE_20 14,42.0,871.0,2.0,215.0,90.0,1220.0,14,Mon Apr  6 00:00:00 2020,06/04/20
3,SE_20 15,87.0,1899.0,5.0,554.0,225.0,2770.0,15,Mon Apr 13 00:00:00 2020,13/04/20
4,SE_20 16,151.0,3369.0,8.0,1080.0,415.0,5023.0,16,Mon Apr 20 00:00:00 2020,20/04/20
5,SE_20 17,243.0,5340.0,12.0,1813.0,683.0,8091.0,17,Mon Apr 27 00:00:00 2020,27/04/20
6,SE_20 18,359.0,7945.0,16.0,2829.0,1053.0,12202.0,18,Mon May  4 00:00:00 2020,04/05/20
7,SE_20 19,505.0,11165.0,22.0,4146.0,1509.0,17347.0,19,Mon May 11 00:00:00 2020,11/05/20
8,SE_20 20,669.0,15070.0,29.0,5761.0,2085.0,23614.0,20,Mon May 18 00:00:00 2020,18/05/20
9,SE_20 21,852.0,19643.0,37.0,7701.0,2746.0,30979.0,21,Mon May 25 00:00:00 2020,25/05/20
10,SE_20 22,1054.0,24903.0,45.0,9911.0,3514.0,39427.0,22,Mon Jun  1 00:00:00 2020,01/06/20
11,SE_20 23,1278.0,30817.0,54.0,12383.0,4399.0,48931.0,23,Mon Jun  8 00:00:00 2020,08/06/20
12,SE_20 24,1526.0,37389.0,64.0,15125.0,5396.0,59500.0,24,Mon Jun 15 00:00:00 2020,15/06/20
13,SE_20 25,1789.0,44516.0,75.0,18076.0,6489.0,70945.0,25,Mon Jun 22 00:00:00 2020,22/06/20
14,SE_20 26,2068.0,52129.0,86.0,21202.0,7659.0,83144.0,26,Mon Jun 29 00:00:00 2020,29/06/20
15,SE_20 27,2368.0,60167.0,97.0,24484.0,8904.0,96020.0,27,Mon Jul  6 00:00:00 2020,06/07/20
16,SE_20 28,2679.0,68644.0,108.0,27916.0,10208.0,109555.0,28,Mon Jul 13 00:00:00 2020,13/07/20
17,SE_20 29,3009.0,77562.0,120.0,31490.0,11581.0,123762.0,29,Mon Jul 20 00:00:00 2020,20/07/20
18,SE_20 30,3344.0,86887.0,132.0,35212.0,13016.0,138591.0,30,Mon Jul 27 00:00:00 2020,27/07/20
19,SE_20 31,3692.0,96566.0,144.0,39061.0,14493.0,153956.0,31,Mon Aug  3 00:00:00 2020,03/08/20
20,SE_20 32,4058.0,106623.0,156.0,43052.0,16011.0,169900.0,32,Mon Aug 10 00:00:00 2020,10/08/20
21,SE_20 33,4435.0,117010.0,168.0,47172.0,17580.0,186365.0,33,Mon Aug 17 00:00:00 2020,17/08/20
22,SE_20 34,4823.0,127679.0,180.0,51396.0,19192.0,203270.0,34,Mon Aug 24 00:00:00 2020,24/08/20
23,SE_20 35,5222.0,138648.0,192.0,55708.0,20831.0,220601.0,35,Mon Aug 31 00:00:00 2020,31/08/20
24,SE_20 36,5632.0,149855.0,204.0,60100.0,22505.0,238296.0,36,Mon Sep  7 00:00:00 2020,07/09/20
25,SE_20 37,6053.0,161301.0,217.0,64577.0,24210.0,256358.0,37,Mon Sep 14 00:00:00 2020,14/09/20
26,SE_20 38,6480.0,172958.0,230.0,69119.0,25949.0,274736.0,38,Mon Sep 21 00:00:00 2020,21/09/20
27,SE_20 39,6912.0,184779.0,244.0,73714.0,27715.0,293364.0,39,Mon Sep 28 00:00:00 2020,28/09/20
28,SE_20 40,7349.0,196776.0,258.0,78363.0,29504.0,312250.0,40,Mon Oct  5 00:00:00 2020,05/10/20
29,SE_20 41,7790.0,208911.0,272.0,83068.0,31312.0,331353.0,41,Mon Oct 12 00:00:00 2020,12/10/20
30,SE_20 42,8237.0,221152.0,286.0,87820.0,33140.0,350635.0,42,Mon Oct 19 00:00:00 2020,19/10/20
31,SE_20 43,8688.0,233485.0,300.0,92603.0,34986.0,370062.0,43,Mon Oct 26 00:00:00 2020,26/10/20
32,SE_20 44,9145.0,245923.0,314.0,97423.0,36841.0,389646.0,44,Mon Nov  2 00:00:00 2020,02/11/20
33,SE_20 45,9604.0,258466.0,329.0,102279.0,38710.0,409388.0,45,Mon Nov  9 00:00:00 2020,09/11/20
34,SE_20 46,10069.0,271146.0,344.0,107177.0,40595.0,429331.0,46,Mon Nov 16 00:00:00 2020,16/11/20
35,SE_20 47,10544.0,283985.0,359.0,112123.0,42496.0,449507.0,47,Mon Nov 23 00:00:00 2020,23/11/20
36,SE_20 48,11028.0,297016.0,374.0,117120.0,44427.0,469965.0,48,Mon Nov 30 00:00:00 2020,30/11/20
37,SE_20 49,11520.0,310275.0,389.0,122193.0,46385.0,490762.0,49,Mon Dec  7 00:00:00 2020,07/12/20
38,SE_20 50,12023.0,323796.0,405.0,127332.0,48383.0,511939.0,50,Mon Dec 14 00:00:00 2020,14/12/20
39,SE_20 51,12537.0,337618.0,421.0,132555.0,50420.0,533551.0,51,Mon Dec 21 00:00:00 2020,21/12/20
40,SE_20 52,13066.0,351724.0,437.0,137858.0,52501.0,555586.0,52,Mon Dec 28 00:00:00 2020,28/12/20
