Mortalidade geral exceto causas externas    
Óbitos Residentes MSP por Cor e Semana epidemiológica
Causas específicas:  Óbitos suspeitos de Covid 19,  Óbitos confirmados de Covid 19
Período:2020
"Cor";"SE_20 11_1ºÓbito Covid19";"SE_20 12";"SE_20 13";"SE_20 14";"SE_20 15";"SE_20 16";"SE_20 17";"SE_20 18";"SE_20 19";"SE_20 20";"SE_20 21";"SE_20 22";"SE_20 23";"SE_20 24";"SE_20 25";"SE_20 26";"SE_20 27";"SE_20 28";"SE_20 29";"SE_20 30";"SE_20 31";"SE_20 32";"SE_20 33";"SE_20 34";"SE_20 35";"SE_20 36";"SE_20 37";"SE_20 38";"SE_20 39";"SE_20 40";"SE_20 41";"SE_20 42";"SE_20 43";"SE_20 44";"SE_20 45";"SE_20 46";"SE_20 47";"SE_20 48";"SE_20 49";"SE_20 50";"SE_20 51";"SE_20 52";"SE_20 53";"Total"
"Branca";3;48;178;362;437;442;501;634;615;685;668;687;654;658;555;486;425;439;441;407;354;378;330;282;300;238;239;211;164;176;138;106;92;105;105;137;159;192;228;262;301;284;191;14297
"Preta";-;2;15;54;64;55;78;102;86;120;85;107;117;112;96;77;75;59;69;62;42;41;51;43;27;35;31;34;27;23;19;20;18;9;14;16;16;30;27;40;39;44;27;2108
"Amarela";-;2;10;16;17;19;28;24;30;18;19;19;22;24;15;16;21;11;19;5;13;18;11;11;11;11;11;6;5;5;4;6;4;6;2;6;10;9;8;11;11;15;15;544
"Parda";-;5;37;126;171;187;207;283;301;298;325;270;262;270;209;175;156;150;142;148;127;142;129;104;88;80;85;65;53;54;56;47;31;37;36;42;48;51;76;66;84;80;64;5367
"Indígena";-;-;1;-;2;-;1;-;2;1;1;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;16
"Não informado";-;-;12;17;25;28;22;41;41;40;34;36;44;30;36;17;19;15;30;30;25;14;26;12;12;18;6;9;8;11;5;7;6;7;3;3;1;7;8;15;16;11;9;756
"Total";3;57;253;575;716;731;837;1084;1075;1162;1132;1119;1100;1095;912;771;696;674;702;652;561;593;547;452;438;382;373;325;258;269;222;186;151;164;161;204;234;289;347;395;451;434;306;23088
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM/CEInfo – SMS/SP. Data de atualização: 02/07/2021.
Nota:
1- Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2- Em acordo com orientação do Ministério da Saúde de 20/03/2020, o código U04.9 foi utilizado como marcador dos casos suspeitos de COVID 19 e o código B34.2 foi utilizado para casos confirmados da doença.
