,Cor,Habitantes,Semana,Óbitos,Óbitos por 100 mil
0,Branca,6824668,SE_20 12,51.0,0.7472890988982908
1,Preta,736083,SE_20 12,2.0,0.2717084893958969
2,Amarela,246244,SE_20 12,2.0,0.812202530823086
3,Parda,3433218,SE_20 12,5.0,0.14563596019827463
4,Indígena,12977,SE_20 12,0.0,0.0
5,Branca,6824668,SE_20 13,280.0,4.10276368022591
6,Preta,736083,SE_20 13,19.0,2.5812306492610206
7,Amarela,246244,SE_20 13,14.0,5.685417715761602
8,Parda,3433218,SE_20 13,47.0,1.3689780258637814
9,Indígena,12977,SE_20 13,1.0,7.705941280727441
10,Branca,6824668,SE_20 14,871.0,12.762525590988455
11,Preta,736083,SE_20 14,90.0,12.226882022815362
12,Amarela,246244,SE_20 14,42.0,17.056253147284806
13,Parda,3433218,SE_20 14,215.0,6.2623462885258085
14,Indígena,12977,SE_20 14,2.0,15.411882561454881
15,Branca,6824668,SE_20 15,1899.0,27.825529388389295
16,Preta,736083,SE_20 15,225.0,30.567205057038404
17,Amarela,246244,SE_20 15,87.0,35.33081009080424
18,Parda,3433218,SE_20 15,554.0,16.13646438996883
19,Indígena,12977,SE_20 15,5.0,38.529706403637206
20,Branca,6824668,SE_20 16,3369.0,49.36503870957532
21,Preta,736083,SE_20 16,415.0,56.37951154964861
22,Amarela,246244,SE_20 16,151.0,61.321291077142995
23,Parda,3433218,SE_20 16,1080.0,31.45736740282732
24,Indígena,12977,SE_20 16,8.0,61.647530245819524
25,Branca,6824668,SE_20 17,5340.0,78.24556447287985
26,Preta,736083,SE_20 17,683.0,92.7884491286988
27,Amarela,246244,SE_20 17,243.0,98.68260749500496
28,Parda,3433218,SE_20 17,1813.0,52.80759916789438
29,Indígena,12977,SE_20 17,12.0,92.47129536872929
30,Branca,6824668,SE_20 18,7945.0,116.4159194264102
31,Preta,736083,SE_20 18,1053.0,143.05451966693974
32,Amarela,246244,SE_20 18,359.0,145.79035428274395
33,Parda,3433218,SE_20 18,2829.0,82.40082628018378
34,Indígena,12977,SE_20 18,16.0,123.29506049163905
35,Branca,6824668,SE_20 19,11165.0,163.59770174900817
36,Preta,736083,SE_20 19,1509.0,205.00405524920424
37,Amarela,246244,SE_20 19,505.0,205.0811390328292
38,Parda,3433218,SE_20 19,4146.0,120.76133819640931
39,Indígena,12977,SE_20 19,22.0,169.53070817600369
40,Branca,6824668,SE_20 20,15070.0,220.81660236073023
41,Preta,736083,SE_20 20,2085.0,283.25610019522253
42,Amarela,246244,SE_20 20,669.0,271.68174656032227
43,Parda,3433218,SE_20 20,5761.0,167.80175334045202
44,Indígena,12977,SE_20 20,29.0,223.4722971410958
45,Branca,6824668,SE_20 21,19643.0,287.82352489527693
46,Preta,736083,SE_20 21,2746.0,373.0557559405665
47,Amarela,246244,SE_20 21,852.0,345.9982781306347
48,Parda,3433218,SE_20 21,7701.0,224.30850589738256
49,Indígena,12977,SE_20 21,37.0,285.1198273869153
50,Branca,6824668,SE_20 22,24903.0,364.8968711738066
51,Preta,736083,SE_20 22,3514.0,477.3918158685909
52,Amarela,246244,SE_20 22,1054.0,428.03073374376635
53,Parda,3433218,SE_20 22,9911.0,288.67960030501996
54,Indígena,12977,SE_20 22,45.0,346.76735763273484
55,Branca,6824668,SE_20 23,30817.0,451.5531011911495
56,Preta,736083,SE_20 23,4399.0,597.6228224262753
57,Amarela,246244,SE_20 23,1278.0,518.997417195952
58,Parda,3433218,SE_20 23,12383.0,360.6820190270469
59,Indígena,12977,SE_20 23,54.0,416.1208291592818
60,Branca,6824668,SE_20 24,37389.0,547.8508258570233
61,Preta,736083,SE_20 24,5396.0,733.06950439013
62,Amarela,246244,SE_20 24,1526.0,619.7105310180146
63,Parda,3433218,SE_20 24,15125.0,440.54877959978074
