,Cor,Total,Faixa Etária,Óbitos,Habitantes,Óbitos por 100 mil
0,Branca,12811,0-4a,20.0,444168,4.502800742061562
1,Preta,1910,0-4a,1.0,29954,3.338452293516726
2,Amarela,476,0-4a,0.0,8329,0.0
3,Parda,4951,0-4a,17.0,227650,7.46760377772897
4,Indígena,14,0-4a,1.0,813,123.00123001230013
5,Total,20857,0-4a,40.0,710927,5.626456724811408
6,Branca,12811,5-9a,9.0,433860,2.0744018807910387
7,Preta,1910,5-9a,1.0,39476,2.53318471982977
8,Amarela,476,5-9a,0.0,9020,0.0
9,Parda,4951,5-9a,5.0,275068,1.8177323425480245
10,Indígena,14,5-9a,0.0,840,0.0
11,Total,20857,5-9a,15.0,758279,1.9781637101911038
12,Branca,12811,10-14a,7.0,466843,1.499433428368852
13,Preta,1910,10-14a,0.0,52706,0.0
14,Amarela,476,10-14a,0.0,10726,0.0
15,Parda,4951,10-14a,4.0,336289,1.1894531191921234
16,Indígena,14,10-14a,1.0,843,118.62396204033215
17,Total,20857,10-14a,12.0,867430,1.3833969311644743
18,Branca,12811,15-19a,17.0,462715,3.6739677771414367
19,Preta,1910,15-19a,4.0,56272,7.108330963889679
20,Amarela,476,15-19a,1.0,12276,8.145975887911371
21,Parda,4951,15-19a,11.0,309997,3.5484214363364806
22,Indígena,14,15-19a,0.0,982,0.0
23,Total,20857,15-19a,35.0,842257,4.155501230622007
24,Branca,12811,20-24a,34.0,570950,5.954987301865312
25,Preta,1910,20-24a,9.0,68610,13.117621337997376
26,Amarela,476,20-24a,0.0,17282,0.0
27,Parda,4951,20-24a,24.0,333423,7.198063720859089
28,Indígena,14,20-24a,0.0,1352,0.0
29,Total,20857,20-24a,71.0,991659,7.159719217997315
30,Branca,12811,25-29a,47.0,636194,7.38768363109366
31,Preta,1910,25-29a,12.0,75869,15.816736743597517
32,Amarela,476,25-29a,0.0,21097,0.0
33,Parda,4951,25-29a,41.0,339887,12.062832647321022
34,Indígena,14,25-29a,0.0,1484,0.0
35,Total,20857,25-29a,100.0,1074583,9.305935418669382
36,Branca,12811,30-34a,112.0,599762,18.67407404937292
37,Preta,1910,30-34a,21.0,73139,28.712451633191595
38,Amarela,476,30-34a,0.0,20445,0.0
39,Parda,4951,30-34a,77.0,315436,24.41065699539685
40,Indígena,14,30-34a,1.0,1256,79.61783439490446
41,Total,20857,30-34a,214.0,1010076,21.18652457834856
42,Branca,12811,35-39a,153.0,524122,29.191676747016917
43,Preta,1910,35-39a,39.0,64755,60.22700949733611
44,Amarela,476,35-39a,2.0,18141,11.024750565018467
45,Parda,4951,35-39a,132.0,280563,47.048256541311574
46,Indígena,14,35-39a,0.0,1072,0.0
47,Total,20857,35-39a,338.0,888684,38.033766783243536
48,Branca,12811,40-44a,223.0,485640,45.91878757927683
49,Preta,1910,40-44a,62.0,59093,104.91936439172153
50,Amarela,476,40-44a,2.0,17467,11.4501631648251
51,Parda,4951,40-44a,183.0,249819,73.25303519748297
52,Indígena,14,40-44a,0.0,939,0.0
53,Total,20857,40-44a,487.0,812979,59.903146329733
54,Branca,12811,45-49a,280.0,465774,60.11499139067445
55,Preta,1910,45-49a,83.0,51910,159.89212097861684
56,Amarela,476,45-49a,6.0,17002,35.28996588636631
57,Parda,4951,45-49a,235.0,207196,113.4191779764088
58,Indígena,14,45-49a,1.0,823,121.50668286755771
59,Total,20857,45-49a,632.0,742720,85.09263248599741
60,Branca,12811,50-54a,475.0,425601,111.60688062293087
61,Preta,1910,50-54a,108.0,47914,225.40384856200694
62,Amarela,476,50-54a,9.0,17422,51.65882217885432
63,Parda,4951,50-54a,361.0,175970,205.1486048758311
64,Indígena,14,50-54a,0.0,734,0.0
65,Total,20857,50-54a,990.0,667658,148.27950837105226
66,Branca,12811,55-59a,723.0,358120,201.88763542946498
67,Preta,1910,55-59a,162.0,37809,428.46941204475127
68,Amarela,476,55-59a,23.0,17874,128.67852747006825
69,Parda,4951,55-59a,413.0,133704,308.89128223538563
70,Indígena,14,55-59a,1.0,590,169.4915254237288
71,Total,20857,55-59a,1383.0,548113,252.32023323657714
72,Branca,12811,60-64a,1071.0,283006,378.43720627831215
73,Preta,1910,60-64a,209.0,27559,758.3729453173192
74,Amarela,476,60-64a,24.0,17175,139.73799126637556
75,Parda,4951,60-64a,553.0,94896,582.743213623335
76,Indígena,14,60-64a,0.0,413,0.0
77,Total,20857,60-64a,1929.0,423055,455.96908203425085
78,Branca,12811,65-69a,1352.0,208206,649.3568869292911
79,Preta,1910,65-69a,249.0,18537,1343.2594270917625
80,Amarela,476,65-69a,40.0,13987,285.97983842139126
81,Parda,4951,65-69a,636.0,61310,1037.3511662045344
82,Indígena,14,65-69a,2.0,293,682.5938566552901
83,Total,20857,65-69a,2357.0,302338,779.5910537213317
84,Branca,12811,70-74a,1537.0,169901,904.644469426313
85,Preta,1910,70-74a,254.0,13717,1851.7168477072246
86,Amarela,476,70-74a,58.0,11468,505.7551447506104
87,Parda,4951,70-74a,636.0,41992,1514.574204610402
88,Indígena,14,70-74a,1.0,221,452.4886877828054
89,Total,20857,70-74a,2562.0,237301,1079.6414680089845
90,Branca,12811,75 e mais,6748.0,128717,5242.508759526713
91,Preta,1910,75 e mais,695.0,9097,7639.881279542707
92,Amarela,476,75 e mais,311.0,7516,4137.8392762107505
93,Parda,4951,75 e mais,1621.0,25485,6360.604277025702
94,Indígena,14,75 e mais,6.0,152,3947.3684210526317
95,Total,20857,75 e mais,9685.0,170969,5664.769636600788
