,Semana,Amarela,Branca,Indígena,Parda,Preta,Total,Semana_Num,Data,Data_Simp
0,SE_20 11,0.0,3.0,0.0,0.0,0.0,3.0,11,Mon Mar 16 00:00:00 2020,16/03/20
1,SE_20 12,2.0,51.0,0.0,5.0,2.0,60.0,12,Mon Mar 23 00:00:00 2020,23/03/20
2,SE_20 13,12.0,229.0,1.0,42.0,17.0,301.0,13,Mon Mar 30 00:00:00 2020,30/03/20
3,SE_20 14,28.0,595.0,1.0,170.0,73.0,867.0,14,Mon Apr  6 00:00:00 2020,06/04/20
4,SE_20 15,46.0,1040.0,3.0,348.0,139.0,1576.0,15,Mon Apr 13 00:00:00 2020,13/04/20
5,SE_20 16,67.0,1492.0,3.0,537.0,195.0,2294.0,16,Mon Apr 20 00:00:00 2020,20/04/20
6,SE_20 17,98.0,2011.0,4.0,752.0,277.0,3142.0,17,Mon Apr 27 00:00:00 2020,27/04/20
7,SE_20 18,122.0,2667.0,4.0,1043.0,381.0,4217.0,18,Mon May  4 00:00:00 2020,04/05/20
8,SE_20 19,152.0,3287.0,6.0,1346.0,468.0,5259.0,19,Mon May 11 00:00:00 2020,11/05/20
9,SE_20 20,170.0,3975.0,7.0,1645.0,590.0,6387.0,20,Mon May 18 00:00:00 2020,18/05/20
10,SE_20 21,189.0,4649.0,8.0,1973.0,675.0,7494.0,21,Mon May 25 00:00:00 2020,25/05/20
11,SE_20 22,208.0,5345.0,8.0,2247.0,782.0,8590.0,22,Mon Jun  1 00:00:00 2020,01/06/20
12,SE_20 23,230.0,6005.0,9.0,2510.0,901.0,9655.0,23,Mon Jun  8 00:00:00 2020,08/06/20
13,SE_20 24,254.0,6666.0,10.0,2776.0,1014.0,10720.0,24,Mon Jun 15 00:00:00 2020,15/06/20
14,SE_20 25,269.0,7228.0,11.0,2986.0,1113.0,11607.0,25,Mon Jun 22 00:00:00 2020,22/06/20
15,SE_20 26,285.0,7718.0,11.0,3162.0,1192.0,12368.0,26,Mon Jun 29 00:00:00 2020,29/06/20
16,SE_20 27,306.0,8148.0,11.0,3320.0,1269.0,13054.0,27,Mon Jul  6 00:00:00 2020,06/07/20
17,SE_20 28,317.0,8591.0,11.0,3472.0,1330.0,13721.0,28,Mon Jul 13 00:00:00 2020,13/07/20
18,SE_20 29,336.0,9036.0,12.0,3613.0,1399.0,14396.0,29,Mon Jul 20 00:00:00 2020,20/07/20
19,SE_20 30,341.0,9446.0,12.0,3764.0,1460.0,15023.0,30,Mon Jul 27 00:00:00 2020,27/07/20
20,SE_20 31,354.0,9803.0,12.0,3894.0,1502.0,15565.0,31,Mon Aug  3 00:00:00 2020,03/08/20
21,SE_20 32,372.0,10180.0,12.0,4037.0,1543.0,16144.0,32,Mon Aug 10 00:00:00 2020,10/08/20
22,SE_20 33,383.0,10517.0,12.0,4170.0,1595.0,16677.0,33,Mon Aug 17 00:00:00 2020,17/08/20
23,SE_20 34,393.0,10749.0,12.0,4260.0,1635.0,17049.0,34,Mon Aug 24 00:00:00 2020,24/08/20
24,SE_20 35,404.0,11054.0,12.0,4348.0,1663.0,17481.0,35,Mon Aug 31 00:00:00 2020,31/08/20
25,SE_20 36,415.0,11291.0,12.0,4430.0,1697.0,17845.0,36,Mon Sep  7 00:00:00 2020,07/09/20
26,SE_20 37,426.0,11533.0,12.0,4515.0,1728.0,18214.0,37,Mon Sep 14 00:00:00 2020,14/09/20
27,SE_20 38,433.0,11742.0,12.0,4581.0,1764.0,18532.0,38,Mon Sep 21 00:00:00 2020,21/09/20
28,SE_20 39,438.0,11907.0,13.0,4636.0,1791.0,18785.0,39,Mon Sep 28 00:00:00 2020,28/09/20
29,SE_20 40,443.0,12081.0,13.0,4690.0,1813.0,19040.0,40,Mon Oct  5 00:00:00 2020,05/10/20
30,SE_20 41,447.0,12209.0,13.0,4743.0,1833.0,19245.0,41,Mon Oct 12 00:00:00 2020,12/10/20
31,SE_20 42,454.0,12310.0,13.0,4788.0,1851.0,19416.0,42,Mon Oct 19 00:00:00 2020,19/10/20
32,SE_20 43,458.0,12399.0,13.0,4818.0,1866.0,19554.0,43,Mon Oct 26 00:00:00 2020,26/10/20
33,SE_20 44,461.0,12478.0,13.0,4845.0,1873.0,19670.0,44,Mon Nov  2 00:00:00 2020,02/11/20
34,SE_20 45,463.0,12570.0,14.0,4873.0,1886.0,19806.0,45,Mon Nov  9 00:00:00 2020,09/11/20
35,SE_20 46,468.0,12694.0,14.0,4909.0,1899.0,19984.0,46,Mon Nov 16 00:00:00 2020,16/11/20
