,Cor,Habitantes,Semana,Óbitos,Óbitos por 100 mil
0,Branca,6824668,SE_20 11_1ºÓbito Covid19,3.0,0.04395818228813475
1,Preta,736083,SE_20 11_1ºÓbito Covid19,0.0,0.0
2,Amarela,246244,SE_20 11_1ºÓbito Covid19,0.0,0.0
3,Parda,3433218,SE_20 11_1ºÓbito Covid19,0.0,0.0
4,Indígena,12977,SE_20 11_1ºÓbito Covid19,0.0,0.0
5,Branca,6824668,SE_20 12,51.0,0.7472890988982908
6,Preta,736083,SE_20 12,2.0,0.2717084893958969
7,Amarela,246244,SE_20 12,2.0,0.812202530823086
8,Parda,3433218,SE_20 12,5.0,0.14563596019827463
9,Indígena,12977,SE_20 12,0.0,0.0
10,Branca,6824668,SE_20 13,229.0,3.355474581327619
11,Preta,736083,SE_20 13,17.0,2.309522159865124
12,Amarela,246244,SE_20 13,12.0,4.873215184938516
13,Parda,3433218,SE_20 13,42.0,1.2233420656655067
14,Indígena,12977,SE_20 13,1.0,7.705941280727441
15,Branca,6824668,SE_20 14,595.0,8.718372820480058
16,Preta,736083,SE_20 14,73.0,9.917359862950239
17,Amarela,246244,SE_20 14,28.0,11.370835431523204
18,Parda,3433218,SE_20 14,170.0,4.951622646741337
19,Indígena,12977,SE_20 14,1.0,7.705941280727441
20,Branca,6824668,SE_20 15,1040.0,15.23883652655338
21,Preta,736083,SE_20 15,139.0,18.883740013014837
22,Amarela,246244,SE_20 15,46.0,18.68065820893098
23,Parda,3433218,SE_20 15,348.0,10.136262829799914
24,Indígena,12977,SE_20 15,3.0,23.11782384218232
25,Branca,6824668,SE_20 16,1492.0,21.861869324632348
26,Preta,736083,SE_20 16,195.0,26.49157771609995
27,Amarela,246244,SE_20 16,67.0,27.20878478257338
28,Parda,3433218,SE_20 16,537.0,15.641302125294695
29,Indígena,12977,SE_20 16,3.0,23.11782384218232
30,Branca,6824668,SE_20 17,2011.0,29.466634860479658
31,Preta,736083,SE_20 17,277.0,37.63162578133173
32,Amarela,246244,SE_20 17,98.0,39.797924010331215
33,Parda,3433218,SE_20 17,752.0,21.903648413820502
34,Indígena,12977,SE_20 17,4.0,30.823765122909762
35,Branca,6824668,SE_20 18,2667.0,39.078824054151795
36,Preta,736083,SE_20 18,381.0,51.76046722991836
37,Amarela,246244,SE_20 18,122.0,49.54435438020825
38,Parda,3433218,SE_20 18,1043.0,30.379661297360087
39,Indígena,12977,SE_20 18,4.0,30.823765122909762
40,Branca,6824668,SE_20 19,3287.0,48.16351506036631
41,Preta,736083,SE_20 19,468.0,63.579786518639885
42,Amarela,246244,SE_20 19,152.0,61.72739234255454
43,Parda,3433218,SE_20 19,1346.0,39.20520048537553
44,Indígena,12977,SE_20 19,6.0,46.23564768436464
45,Branca,6824668,SE_20 20,3975.0,58.24459153177854
46,Preta,736083,SE_20 20,590.0,80.1540043717896
47,Amarela,246244,SE_20 20,170.0,69.03721511996231
48,Parda,3433218,SE_20 20,1645.0,47.91423090523235
